# Sanctum · derived geography confidence table — DO NOT EDIT BY HAND
# regenerate with: tools/geo_classify.py --state CA
# generated 2026-09-02 · state CA · 1653 names
# source: US Census Bureau Gazetteer (public domain)
#   2025_Gaz_counties_national.txt
#   2025_Gaz_place_national.txt
# frequency signal: wordfreq
#
#   A  unique to this state      match on the name alone
#   B  shared with 2-3 states    require corroboration nearby
#   C  shared with 4+ states, or a common English word — never alone
#
#   A 1085   B 280   C 288
#
# LIMIT: the places file has no county column, so this covers the whole
# state. Narrowing to a sub-state AOR needs the Census place-to-county
# relationship file.
#
# name|kind|bucket|states|reason
hayfork|place|A|1|
hayward|place|C|4|shares its name with 4 states
healdsburg|place|A|1|
heber|place|B|2|shares its name with 2 states
hemet|place|A|1|
herald|place|A|1|
hercules|place|A|1|
herlong|place|A|1|
hermosa beach|place|A|1|
hesperia|place|B|2|shares its name with 2 states
hickman|place|C|4|shares its name with 4 states
hidden hills|place|A|1|
hidden meadows|place|A|1|
hidden valley lake|place|A|1|
highgrove|place|A|1|
highland|place|C|11|shares its name with 11 states
highlands|place|C|5|shares its name with 5 states
hillcrest|place|B|3|shares its name with 3 states
hillsborough|place|C|5|shares its name with 5 states
hilmar-irwin|place|A|1|
hiouchi|place|A|1|
hollister|place|C|5|shares its name with 5 states
holtville|place|B|2|shares its name with 2 states
home garden|place|A|1|
home gardens|place|A|1|
homeland|place|B|3|shares its name with 3 states
homestead valley|place|A|1|
homewood canyon|place|A|1|
honcut|place|A|1|
hood|place|C|2|common English word, zipf 4.21
hoopa|place|A|1|
hopland|place|A|1|
hornbrook|place|A|1|
hornitos|place|A|1|
hughson|place|A|1|
humboldt|county|B|3|shares its name with 3 counties
humboldt hill|place|A|1|
huntington beach|place|A|1|
huntington park|place|A|1|
huron|place|C|7|shares its name with 7 states
hyampom|place|A|1|
hydesville|place|A|1|
hypericum|place|A|1|
idlewild|place|A|1|
idyllwild-pine cove|place|A|1|
igo|place|A|1|
imperial|county|A|1|
imperial|place|C|5|common English word, zipf 4.21
imperial beach|place|A|1|
independence|place|C|15|common English word, zipf 4.58
indian falls|place|A|1|
indian wells|place|B|2|shares its name with 2 states
indianola|place|C|7|shares its name with 7 states
indio|place|B|2|shares its name with 2 states
indio hills|place|A|1|
industry|place|C|4|common English word, zipf 5.19
inglewood|place|B|2|shares its name with 2 states
interlaken|place|C|4|shares its name with 4 states
inverness|place|C|6|shares its name with 6 states
inyo|county|A|1|
inyokern|place|A|1|
ione|place|B|3|shares its name with 3 states
iron horse|place|A|1|
irvine|place|B|2|shares its name with 2 states
irwindale|place|A|1|
isla vista|place|A|1|
isleton|place|A|1|
ivanhoe|place|C|5|shares its name with 5 states
jackson|place|C|29|common English word, zipf 4.58
jacumba|place|A|1|
jamestown|place|C|16|shares its name with 16 states
jamul|place|A|1|
janesville|place|C|5|shares its name with 5 states
jenner|place|A|1|
johannesburg|place|A|1|
johnson park|place|A|1|
johnstonville|place|A|1|
johnsville|place|A|1|
jones valley|place|A|1|
joshua tree|place|A|1|
jovista|place|A|1|
julian|place|B|3|shares its name with 3 states
junction city|place|C|11|shares its name with 11 states
june lake|place|A|1|
jurupa valley|place|A|1|
keddie|place|A|1|
keeler|place|A|1|
keene|place|C|4|shares its name with 4 states
kelly ridge|place|A|1|
kelseyville|place|A|1|
kennedy|place|C|4|common English word, zipf 4.28
kennedy meadows|place|A|1|
kensington|place|C|6|shares its name with 6 states
